"id";"nome";"regional_id";"cidade_id";"territorio"
"192";"MARIANO DE ABREU";"3";"2302";"L1"
"193";"MARILÂNDIA";"1";"2302";"B3"
"194";"MARIQUINHAS";"6";"2302";"N1"
"195";"MILIONÁRIOS";"1";"2302";"B1"
"196";"MINAS BRASIL";"5";"2302";"NO4"
"197";"MINASCAIXA";"9";"2302";"VN1"
"198";"MINASLÂNDIA";"6";"2302";"N4"
"199";"MINEIRÃO";"1";"2302";"B5"
"200";"MIRAMAR";"1";"2302";"B4"
"201";"MONSENHOR MESSIAS";"5";"2302";"NO2"
"202";"MONTE AZUL";"6";"2302";"N2"
"203";"MONTE SÃO JOSÉ";"2";"2302";"CS5"
"204";"NAZARÉ";"4";"2302";"NE1"
"205";"NOSSA SENHORA DA APARECIDA";"2";"2302";"CS3"
"206";"NOSSA SENHORA DA CONCEIÇÃO";"2";"2302";"CS3"
"207";"NOSSA SENHORA DE FÁTIMA";"2";"2302";"CS3"
"208";"NOSSA SENHORA DO ROSÁRIO";"2";"2302";"CS3"
"209";"NOVA CACHOEIRINHA";"5";"2302";"NO1"
"210";"NOVA CINTRA";"7";"2302";"O2"
"211";"NOVA ESPERANÇA";"5";"2302";"NO1"
"212";"NOVA FLORESTA";"4";"2302";"NE5"
"213";"NOVA GAMELEIRA";"7";"2302";"O2"
"214";"NOVA GRANADA";"7";"2302";"O1"
"215";"NOVA SUISSA";"7";"2302";"O1"
"216";"NOVA VISTA";"3";"2302";"L1"
"217";"NOVO AARÃO REIS";"6";"2302";"N2"
"218";"NOVO GLÓRIA";"5";"2302";"NO3"
"219";"NOVO SANTA CECÍLIA";"1";"2302";"B4"
"220";"NOVO SÃO LUCAS";"2";"2302";"CS2"
"221";"NOVO TUPI";"6";"2302";"N2"
"222";"OESTE";"5";"2302";"NO4"
"223";"OESTE";"7";"2302";"O2"
"224";"OLARIA";"1";"2302";"B5"
"225";"OLHOS D'ÁGUA";"1";"2302";"B1"
"226";"OLHOS D'ÁGUA";"7";"2302";"O5"
"227";"OURO MINAS";"4";"2302";"NE1"
"228";"OURO PRETO";"8";"2302";"P2"
"229";"PADRE EUSTÁQUIO";"5";"2302";"NO4"
