"id";"nome";"uf"
"4325";"ATALANTA";"SC"
"2288";"ATALEIA";"MG"
"3305";"ATIBAIA";"SP"
"3099";"ATILIO VIVACQUA";"ES"
"327";"AUGUSTINOPOLIS";"TO"
"163";"AUGUSTO CORREA";"PA"
"2289";"AUGUSTO DE LIMA";"MG"
"4619";"AUGUSTO PESTANA";"RS"
"1084";"AUGUSTO SEVERO";"RN"
"4620";"AUREA";"RS"
"1851";"AURELINO LEAL";"BA"
"3306";"AURIFLAMA";"SP"
"5292";"AURILANDIA";"GO"
"907";"AURORA";"CE"
"4326";"AURORA";"SC"
"164";"AURORA DO PARA";"PA"
"328";"AURORA DO TOCANTINS";"TO"
"81";"AUTAZES";"AM"
"3307";"AVAI";"SP"
"3308";"AVANHANDAVA";"SP"
"3309";"AVARE";"SP"
"165";"AVEIRO";"PA"
"682";"AVELINO LOPES";"PI"
"5293";"AVELINOPOLIS";"GO"
"468";"AXIXA";"MA"
"329";"AXIXA DO TOCANTINS";"TO"
"330";"BABACULANDIA";"TO"
"469";"BACABAL";"MA"
"470";"BACABEIRA";"MA"
"471";"BACURI";"MA"
"472";"BACURITUBA";"MA"
"3310";"BADY BASSITT";"SP"
"2290";"BAEPENDI";"MG"
"4621";"BAGE";"RS"
"166";"BAGRE";"PA"
"1257";"BAIA DA TRAICAO";"PB"
"1085";"BAIA FORMOSA";"RN"
"1852";"BAIANOPOLIS";"BA"
"167";"BAIAO";"PA"
"1853";"BAIXA GRANDE";"BA"
"683";"BAIXA GRANDE DO RIBEIRO";"PI"
"908";"BAIXIO";"CE"
"3100";"BAIXO GUANDU";"ES"
"3311";"BALBINOS";"SP"
"2291";"BALDIM";"MG"
"5294";"BALIZA";"GO"
"4327";"BALNEARIO ARROIO DO SILVA";"SC"
"4329";"BALNEARIO BARRA DO SUL";"SC"
"4328";"BALNEARIO CAMBORIU";"SC"
"4330";"BALNEARIO GAIVOTA";"SC"
"4622";"BALNEARIO PINHAL";"RS"
"3930";"BALSA NOVA";"PR"
"3312";"BALSAMO";"SP"
"473";"BALSAS";"MA"
"2292";"BAMBUI";"MG"
"909";"BANABUIU";"CE"
"3313";"BANANAL";"SP"
"1258";"BANANEIRAS";"PB"
"2293";"BANDEIRA";"MG"
"2294";"BANDEIRA DO SUL";"MG"
"4331";"BANDEIRANTE";"SC"
"5072";"BANDEIRANTES";"MS"
"3931";"BANDEIRANTES";"PR"
"331";"BANDEIRANTES DO TOCANTINS";"TO"
"168";"BANNACH";"PA"
"1854";"BANZAE";"BA"
"4623";"BARAO";"RS"
"3314";"BARAO DE ANTONINA";"SP"
"2295";"BARAO DE COCAIS";"MG"
"4624";"BARAO DE COTEGIPE";"RS"
"474";"BARAO DE GRAJAU";"MA"
"5153";"BARAO DE MELGACO";"MT"
"2296";"BARAO DE MONTE ALTO";"MG"
"4625";"BARAO DO TRIUNFO";"RS"
"1259";"BARAUNA";"PB"
"1086";"BARAUNA";"RN"
"2297";"BARBACENA";"MG"
"910";"BARBALHA";"CE"
"3315";"BARBOSA";"SP"
"3932";"BARBOSA FERRAZ";"PR"
"169";"BARCARENA";"PA"
"1087";"BARCELONA";"RN"
"82";"BARCELOS";"AM"
"3316";"BARIRI";"SP"
"1855";"BARRA";"BA"
"3317";"BARRA BONITA";"SP"
"4332";"BARRA BONITA";"SC"
"684";"BARRA D'ALCANTARA";"PI"
"1856";"BARRA DA ESTIVA";"BA"
"1475";"BARRA DE GUABIRABA";"PE"
"1261";"BARRA DE SANTA ROSA";"PB"
"1260";"BARRA DE SANTANA";"PB"
"1650";"BARRA DE SANTO ANTONIO";"AL"
"3101";"BARRA DE SAO FRANCISCO";"ES"
"1651";"BARRA DE SAO MIGUEL";"AL"
"1262";"BARRA DE SAO MIGUEL";"PB"
"5154";"BARRA DO BUGRES";"MT"
"3318";"BARRA DO CHAPEU";"SP"
"1857";"BARRA DO CHOCA";"BA"
"475";"BARRA DO CORDA";"MA"
"5155";"BARRA DO GARCAS";"MT"
"4627";"BARRA DO GUARITA";"RS"
"3934";"BARRA DO JACARE";"PR"
"1858";"BARRA DO MENDES";"BA"
"332";"BARRA DO OURO";"TO"
"3173";"BARRA DO PIRAI";"RJ"
"4628";"BARRA DO QUARAI";"RS"
"4629";"BARRA DO RIBEIRO";"RS"
"4630";"BARRA DO RIO AZUL";"RS"
"1859";"BARRA DO ROCHA";"BA"
"3319";"BARRA DO TURVO";"SP"
"1752";"BARRA DOS COQUEIROS";"SE"
"4631";"BARRA FUNDA";"RS"
"2298";"BARRA LONGA";"MG"
"3174";"BARRA MANSA";"RJ"
"4333";"BARRA VELHA";"SC"
"3933";"BARRACAO";"PR"
"4626";"BARRACAO";"RS"
"685";"BARRAS";"PI"
"911";"BARREIRA";"CE"
"1860";"BARREIRAS";"BA"
"686";"BARREIRAS DO PIAUI";"PI"
"83";"BARREIRINHA";"AM"
"476";"BARREIRINHAS";"MA"
"1476";"BARREIROS";"PE"
"3320";"BARRETOS";"SP"
"3321";"BARRINHA";"SP"
"912";"BARRO";"CE"
"1861";"BARRO ALTO";"BA"
"5295";"BARRO ALTO";"GO"
"687";"BARRO DURO";"PI"
"1862";"BARRO PRETO";"BA"
"333";"BARROLANDIA";"TO"
"913";"BARROQUINHA";"CE"
"4632";"BARROS CASSAL";"RS"
"2299";"BARROSO";"MG"
"3322";"BARUERI";"SP"
"3323";"BASTOS";"SP"
"5073";"BATAGUASSU";"MS"
"5074";"BATAIPORA";"MS"
"688";"BATALHA";"PI"
"1652";"BATALHA";"AL"
"3324";"BATATAIS";"SP"
"914";"BATURITE";"CE"
"3325";"BAURU";"SP"
"1263";"BAYEUX";"PB"
"3326";"BEBEDOURO";"SP"
"915";"BEBERIBE";"CE"
"916";"BELA CRUZ";"CE"
"5075";"BELA VISTA";"MS"
"5296";"BELA VISTA DE GOIAS";"GO"
"2300";"BELA VISTA DE MINAS";"MG"
"3935";"BELA VISTA DO CAROBA";"PR"
"478";"BELA VISTA DO MARANHAO";"MA"
"3936";"BELA VISTA DO PARAISO";"PR"
"689";"BELA VISTA DO PIAUI";"PI"
"4334";"BELA VISTA DO TOLDO";"SC"
"477";"BELAGUA";"MA"
"170";"BELEM";"PA"
"1653";"BELEM";"AL"
"1264";"BELEM";"PB"
"1477";"BELEM DE MARIA";"PE"
"1478";"BELEM DE SAO FRANCISCO";"PE"
"1265";"BELEM DO BREJO DO CRUZ";"PB"
"690";"BELEM DO PIAUI";"PI"
"3175";"BELFORD ROXO";"RJ"
"2301";"BELMIRO BRAGA";"MG"
"4335";"BELMONTE";"SC"
"1863";"BELMONTE";"BA"
"1864";"BELO CAMPO";"BA"
"2302";"BELO HORIZONTE";"MG"
"1479";"BELO JARDIM";"PE"
"1654";"BELO MONTE";"AL"
"2303";"BELO ORIENTE";"MG"
"2304";"BELO VALE";"MG"
"171";"BELTERRA";"PA"
"691";"BENEDITINOS";"PI"
"479";"BENEDITO LEITE";"MA"
"4336";"BENEDITO NOVO";"SC"
"172";"BENEVIDES";"PA"
"84";"BENJAMIN CONSTANT";"AM"
"4633";"BENJAMIN CONSTANT DO SUL";"RS"
"3327";"BENTO DE ABREU";"SP"
"1088";"BENTO FERNANDES";"RN"
"4634";"BENTO GONCALVES";"RS"
"480";"BEQUIMAO";"MA"
"2305";"BERILO";"MG"
"2307";"BERIZAL";"MG"
"1266";"BERNARDINO BATISTA";"PB"
"3328";"BERNARDINO DE CAMPOS";"SP"
"481";"BERNARDO DO MEARIM";"MA"
"334";"BERNARDO SAYAO";"TO"
"3329";"BERTIOGA";"SP"
"692";"BERTOLINIA";"PI"
"2306";"BERTOPOLIS";"MG"
"85";"BERURI";"AM"
"1480";"BETANIA";"PE"
"693";"BETANIA DO PIAUI";"PI"
"2308";"BETIM";"MG"
"1481";"BEZERROS";"PE"
"2309";"BIAS FORTES";"MG"
"2310";"BICAS";"MG"
"4337";"BIGUACU";"SC"
"3330";"BILAC";"SP"
"2311";"BIQUINHAS";"MG"
"3331";"BIRIGUI";"SP"
"3332";"BIRITIBA-MIRIM";"SP"
"1865";"BIRITINGA";"BA"
"3937";"BITURUNA";"PR"
"4338";"BLUMENAU";"SC"
"3102";"BOA ESPERANCA";"ES"
"3938";"BOA ESPERANCA";"PR"
"2312";"BOA ESPERANCA";"MG"
"3939";"BOA ESPERANCA DO IGUACU";"PR"
"3333";"BOA ESPERANCA DO SUL";"SP"
"694";"BOA HORA";"PI"
"1866";"BOA NOVA";"BA"
"1267";"BOA VENTURA";"PB"
"3940";"BOA VENTURA DE SAO ROQUE";"PR"
"917";"BOA VIAGEM";"CE"
"1268";"BOA VISTA";"PB"
"139";"BOA VISTA";"RR"
"3941";"BOA VISTA DA APARECIDA";"PR"
"4635";"BOA VISTA DAS MISSOES";"RS"
"4636";"BOA VISTA DO BURICA";"RS"
"482";"BOA VISTA DO GURUPI";"MA"
"86";"BOA VISTA DO RAMOS";"AM"
"4637";"BOA VISTA DO SUL";"RS"
"1867";"BOA VISTA DO TUPIM";"BA"
"1655";"BOCA DA MATA";"AL"
"87";"BOCA DO ACRE";"AM"
"3334";"BOCAINA";"SP"
"695";"BOCAINA";"PI"
"2313";"BOCAINA DE MINAS";"MG"
"4339";"BOCAINA DO SUL";"SC"
"2314";"BOCAIUVA";"MG"
